% Model:              IceShelf2D_forward.mph
% Version:            COMSOL 5.6.0.401
% Date:               Jun 13 2024, 08:58
% Dimension:          2
% Nodes:              21665
% Expressions:        4
% Description:        Dependent variable u, Dependent variable v, Dependent variable H, given viscosity
% Length unit:        m
% x                       y                        u (1)                    v (1)                    H (1)                    nu (Pa*s)
35                        35                       1.1971408666095784E-7    3.1707526620427313E-10   362.6789360841955        1.66704737385419E13
35                        559.2685647195888        1.4537507453556752E-6    -2.375236310269786E-8    432.25897154159514       1.6711464934036406E13
0                         0                        0                        0                        450                      1.6666666666666666E13
0                         531.9148936170211        1.3340842764620624E-6    0                        452.105024898144         1.6703885356280777E13
560.6870044355492         35                       3.288753653011575E-7     -1.252674906919196E-8    339.1983463167454        1.6725233331144367E13
533.3333333329815         0                        2.1125391876005364E-7    0                        348.7238103611435        1.6722222222222188E13
35                        1085.3674351159636       2.746616849867189E-6     -2.6353427349988586E-8   444.45201247322706       1.6825127733893992E13
0                         1063.8297872340422       2.6394785684840726E-6    0                        454.16478044363964       1.681537519742033E13
1087.935154714846         35                       5.395809164530721E-7     -1.3715360090291148E-8   336.0737824743574        1.6780155544678445E13
1066.6666666663182        0                        4.22507837520248E-7      0                        336.3815978118125        1.6777777777777742E13
35                        1612.7887770123482       4.012784409479501E-6     -2.7344275495237713E-8   449.72449386007094       1.701150651589273E13
0                         1595.7446808510633       3.916182876066048E-6     0                        456.1792666364871        1.700063824939022E13
1616.4071579434815        35                       7.498219490859111E-7     -1.3634388359436679E-8   334.4437901707746        1.6835205244127799E13
1599.9999999996548        0                        6.337617562804423E-7     0                        334.45700151053956       1.6833333333333297E13
35                        2141.176812828143        5.252463515183554E-6     -2.790846865344833E-8    453.2045011456959        1.7270126770439062E13
0                         2127.6595744680844       5.164197199207979E-6     0                        458.1484834766863        1.7258847082427057E13
2145.836407336702         35                       9.603508120502007E-7     -1.3595974767646687E-8   333.12346286059494       1.6890354657683744E13
2133.3333333329915        0                        8.450156750406366E-7     0                        333.13076496188955       1.6888888888888854E13
35                        2670.290831332583        6.465109282867291E-6     -2.8390648497872294E-8   456.0265914743431        1.760007420930479E13
0                         2659.5744680851053       6.383521537909857E-6     0                        460.07243096423724       1.7588848473201354E13
2676.031871548518         35                       1.1711753400204243E-6    -1.3571016518301518E-8   331.965636611691         1.6945583886055268E13
2666.6666666663286        0                        1.056269593800831E-6     0                        331.971148601664         1.6944444444444408E13
35                        3199.9653826668646       7.65027552970177E-6      -2.8829958643495844E-8   458.51615023282494       1.800004415037708E13
0                         3191.4893617021266       7.574155892171698E-6     0                        461.9511090991399        1.798916855539285E13
3206.8583933417685        35                       1.3822519075788822E-6    -1.3544705366147882E-8   330.9062330815623        1.7000878850227332E13
3199.9999999996653        0                        1.2675235125610254E-6    0                        330.9111676856456        1.6999999999999963E13
35                        3730.0826631196296       8.807660934719898E-6     -2.922916764616243E-8    460.7982165697209        1.846837209270922E13
0                         3723.4042553191475       8.736100261993497E-6     0                        463.7845178813943        1.8458019402335312E13
3738.216359712375         35                       1.5935403566533776E-6    -1.3514608064099817E-8   329.904953289731         1.7056229173744973E13
3733.333333333002         0                        1.4787774313212198E-6    0                        329.9099259804094        1.705555555555552E13
35                        4260.555299047517        9.937044084327778E-6     -2.958891859421425E-8    462.93497212316424       1.9003054870485805E13
0                         4255.319148936169        9.869354647375247E-6     0                        465.57265731100046       1.8993307012331008E13
4270.026339862563         34.99999999999999        1.8050046070621849E-6    -1.34801467815328E-8     328.93538964601333       1.7111626582486738E13
4266.666666666339         0                        1.6900313500814142E-6    0                        328.9406522134456        1.7111111111111078E13
35                        4791.315952580222        1.1038261639770735E-5    -2.9899127213874985E-8   464.95918484577874       1.9601767774007465E13
0                         4787.23404255319         1.0973919048316948E-5    0                        467.31552738795835       1.959264066097066E13
4802.219058973777         35                       2.016611236944273E-6     -1.3441165643010236E-8   327.9797337399477        1.7167063860255893E13
4799.999999999675         0                        1.9012852688416086E-6    0                        327.98537515476          1.7166666666666633E13
35                        5322.311078166412        1.211119275860694E-5     -3.014913616865379E-8    466.8899788988068        2.02618803921232E13
0                         5319.1489361702115       1.2049793464818612E-5    0                        469.01312811226796       2.0253343578688984E13
5334.72990385845          35                       2.2283285714252142E-6    -1.3397709127851107E-8   327.0258128660868        1.722253427644697E13
5333.333333333012         0                        2.1125391876018026E-6    0                        327.0318672760809        1.722222222222219E13
35                        5853.497134691747        1.3155746346854643E-5    -3.033174052481484E-8    468.7396019841452        2.0980472479790082E13
0                         5851.063829787233        1.3096977896880234E-5    0                        470.6654594839294        2.097246490586737E13
5867.496965704561         35                       2.4401264964443007E-6    -1.3349950278567717E-8   326.06528577763186       1.7278031382163008E13
5866.666666666349         0                        2.323793106361997E-6     0                        326.0717779227052        1.7277777777777744E13
35                        6384.838229196666        1.417185299996415E-5     -3.0442554681699746E-8   470.5162787727385        2.1754350399254008E13
0                         6382.978723404254        1.4115472344501802E-5    0                        472.27252150294254       2.1746792872089293E13
6400.461583959043         35.00000000000001        2.651976914919409E-6     -1.3298148228194633E-8   325.0924804140802        1.7333549066870621E13
6399.999999999685         0                        2.5350470251221914E-6    0                        325.0994384877725        1.7333333333333299E13
35.00000000000001         6916.3045859545455       1.5159459877746225E-5    -3.047912402993729E-8    472.22572563392845       2.2580064307414977E13
0                         6914.893617021275        1.510527680768333E-5     0                        473.8343141693074        2.2572869140686625E13
6933.570321114194         34.99999999999999        2.8638545992550886E-6    -1.3242616201317381E-8   324.10361784074786       1.7389081764108924E13
6933.333333333023         0                        2.746300943882386E-6     0                        324.1110727358629        1.7388888888888855E13
34.99999999999999         7447.871487300604        1.6118526940039566E-5    -3.04404993951033E-8     473.87205822163116       2.3453926088893312E13
0                         7446.808510638295        1.6066391286424816E-5    0                        475.35083748302395       2.3447004254510742E13
7466.777308693018         35                       3.075738107591788E-6     -1.318369575475815E-8    323.09627979516347       1.7444624695865354E13
7466.66666666636          0                        2.9575548626425806E-6    0                        323.10426128967504       1.744444444444441E13
35                        7979.518483897847        1.7049024190451307E-5    -3.032686918761152E-8    475.4583303580805        2.4372027967242367E13
0                         7978.723404255317        1.6998815780726254E-5    0                        476.82209144409234       2.4365294113943785E13
8000.046034158258         35                       3.2876104371542016E-6    -1.3121736107986194E-8   322.0690353776313        1.7500174058713816E13
7999.999999999696         0                        3.168808781402775E-6     0                        322.07757024596646       1.7499999999999965E13
